Date,Product,Starting Inventory,Demand,Order Quantity,Sold Quantity,Ending Inventory,Holding Cost,Ordering Cost,Sales,Stock Out
2023-01-01,Product A,70,52,76,52,94,94.0,50,520,0
2023-01-01,Product B,147,50,0,50,97,194.00000000000003,0,1000,0
2023-01-01,Product C,94,37,0,37,57,85.5,0,555,0
2023-01-01,Product D,90,59,0,59,31,93.0,0,1770,0
2023-01-01,Product E,67,41,0,41,26,65.0,0,1025,0
2023-01-02,Product A,94,66,119,66,147,147.0,50,660,0
2023-01-02,Product B,97,57,0,57,40,80.0,0,1140,0
2023-01-02,Product C,57,43,126,43,140,210.0,50,645,0
2023-01-02,Product D,31,52,95,31,95,285.0,50,930,1
2023-01-02,Product E,26,36,91,26,91,227.5,50,650,1
2023-01-03,Product A,147,53,0,53,94,94.0,0,530,0
2023-01-03,Product B,40,67,82,40,82,164.00000000000003,50,800,1
2023-01-03,Product C,140,54,0,54,86,129.0,0,810,0
2023-01-03,Product D,95,67,51,67,79,237.0,50,2010,0
2023-01-03,Product E,91,37,0,37,54,135.0,0,925,0
2023-01-04,Product A,94,51,0,51,43,43.0,0,510,0
2023-01-04,Product B,82,53,0,53,29,58.00000000000001,0,1060,0
2023-01-04,Product C,86,37,0,37,49,73.5,0,555,0
2023-01-04,Product D,79,51,0,51,28,84.00000000000001,0,1530,0
2023-01-04,Product E,54,35,0,35,19,47.5,0,875,0
2023-01-05,Product A,43,44,117,43,117,117.00000000000001,50,430,1
2023-01-05,Product B,29,61,91,29,91,182.0,50,580,1
2023-01-05,Product C,49,50,60,49,60,90.0,50,735,1
2023-01-05,Product D,28,55,61,28,61,183.00000000000003,50,840,1
2023-01-05,Product E,19,50,102,19,102,255.00000000000003,50,475,1
2023-01-06,Product A,117,53,0,53,64,64.0,0,530,0
2023-01-06,Product B,91,63,134,63,162,324.0,50,1260,0
2023-01-06,Product C,60,42,100,42,118,177.0,50,630,0
2023-01-06,Product D,61,47,51,47,65,195.0,50,1410,0
2023-01-06,Product E,102,53,0,53,49,122.50000000000001,0,1325,0
2023-01-07,Product A,64,42,0,42,22,22.0,0,420,0
2023-01-07,Product B,162,63,0,63,99,198.0,0,1260,0
2023-01-07,Product C,118,62,0,62,56,84.00000000000001,0,930,0
2023-01-07,Product D,65,63,149,63,151,453.00000000000006,50,1890,0
2023-01-07,Product E,49,51,74,49,74,185.0,50,1225,1
2023-01-08,Product A,22,71,59,22,59,59.0,50,220,1
2023-01-08,Product B,99,53,0,53,46,92.00000000000001,0,1060,0
2023-01-08,Product C,56,45,50,45,61,91.50000000000001,50,675,0
2023-01-08,Product D,151,65,0,65,86,258.0,0,1950,0
2023-01-08,Product E,74,68,136,68,142,355.0,50,1700,0
2023-01-09,Product A,59,69,106,59,106,106.00000000000001,50,590,1
2023-01-09,Product B,46,58,116,46,116,232.00000000000003,50,920,1
2023-01-09,Product C,61,51,118,51,128,192.0,50,765,0
2023-01-09,Product D,86,55,0,55,31,93.0,0,1650,0
2023-01-09,Product E,142,61,0,61,81,202.5,0,1525,0
2023-01-10,Product A,106,45,0,45,61,61.00000000000001,0,450,0
2023-01-10,Product B,116,47,0,47,69,138.0,0,940,0
2023-01-10,Product C,128,41,0,41,87,130.50000000000003,0,615,0
2023-01-10,Product D,31,54,55,31,55,165.0,50,930,1
2023-01-10,Product E,81,64,82,64,99,247.5,50,1600,0
2023-01-11,Product A,61,52,127,52,136,136.0,50,520,0
2023-01-11,Product B,69,53,119,53,135,270.0,50,1060,0
2023-01-11,Product C,87,60,121,60,148,222.0,50,900,0
2023-01-11,Product D,55,58,83,55,83,249.00000000000003,50,1650,1
2023-01-11,Product E,99,54,0,54,45,112.5,0,1350,0
2023-01-12,Product A,136,45,0,45,91,91.0,0,450,0
2023-01-12,Product B,135,65,0,65,70,140.0,0,1300,0
2023-01-12,Product C,148,55,0,55,93,139.5,0,825,0
2023-01-12,Product D,83,45,0,45,38,114.00000000000001,0,1350,0
2023-01-12,Product E,45,58,147,45,147,367.5,50,1125,1
2023-01-13,Product A,91,71,139,71,159,159.0,50,710,0
2023-01-13,Product B,70,62,144,62,152,304.0,50,1240,0
2023-01-13,Product C,93,51,0,51,42,63.0,0,765,0
