Date,Product,Starting Inventory,Demand,Order Quantity,Sold Quantity,Ending Inventory,Holding Cost,Ordering Cost,Sales,Stock Out
2024-01-01,Product A,568,42,0,42,526,526.0,0,420,0
2024-01-01,Product B,547,45,0,45,502,1004.0,0,900,0
2024-01-01,Product C,613,38,0,38,575,862.5,0,570,0
2024-01-01,Product D,536,54,0,54,482,1446.0,0,1620,0
2024-01-01,Product E,599,48,0,48,551,1377.5,0,1200,0
2024-01-02,Product A,526,29,0,29,497,497.0,0,290,0
2024-01-02,Product B,502,62,0,62,440,880.0,0,1240,0
2024-01-02,Product C,575,16,0,16,559,838.5000000000001,0,240,0
2024-01-02,Product D,482,58,0,58,424,1272.0000000000002,0,1740,0
2024-01-02,Product E,551,59,0,59,492,1230.0,0,1475,0
2024-01-03,Product A,497,60,0,60,437,437.0,0,600,0
2024-01-03,Product B,440,62,0,62,378,756.0000000000001,0,1240,0
2024-01-03,Product C,559,42,0,42,517,775.5,0,630,0
2024-01-03,Product D,424,58,0,58,366,1098.0,0,1740,0
2024-01-03,Product E,492,72,0,72,420,1050.0,0,1800,0
2024-01-04,Product A,437,42,0,42,395,395.0,0,420,0
2024-01-04,Product B,378,60,0,60,318,636.0,0,1200,0
2024-01-04,Product C,517,62,0,62,455,682.5,0,930,0
2024-01-04,Product D,366,54,0,54,312,936.0000000000001,0,1620,0
2024-01-04,Product E,420,54,0,54,366,915.0,0,1350,0
2024-01-05,Product A,395,45,0,45,350,350.0,0,450,0
2024-01-05,Product B,318,39,0,39,279,558.0,0,780,0
2024-01-05,Product C,455,46,0,46,409,613.5000000000001,0,690,0
2024-01-05,Product D,312,60,0,60,252,756.0000000000001,0,1800,0
2024-01-05,Product E,366,61,0,61,305,762.5,0,1525,0
2024-01-06,Product A,350,38,0,38,312,312.0,0,380,0
2024-01-06,Product B,279,52,0,52,227,454.00000000000006,0,1040,0
2024-01-06,Product C,409,55,0,55,354,531.0,0,825,0
2024-01-06,Product D,252,47,0,47,205,615.0,0,1410,0
2024-01-06,Product E,305,57,0,57,248,620.0,0,1425,0
2024-01-07,Product A,312,42,0,42,270,270.0,0,420,0
2024-01-07,Product B,227,54,0,54,173,346.0,0,1080,0
2024-01-07,Product C,354,44,0,44,310,465.0,0,660,0
2024-01-07,Product D,205,55,365,55,515,1545.0,50,1650,0
2024-01-07,Product E,248,51,0,51,197,492.50000000000006,0,1275,0
2024-01-08,Product A,270,52,0,52,218,218.0,0,520,0
2024-01-08,Product B,173,50,365,50,488,976.0000000000001,50,1000,0
2024-01-08,Product C,310,55,0,55,255,382.5,0,825,0
2024-01-08,Product D,515,55,0,55,460,1380.0,0,1650,0
2024-01-08,Product E,197,38,365,38,524,1310.0000000000002,50,950,0
2024-01-09,Product A,218,63,365,63,520,520.0,50,630,0
2024-01-09,Product B,488,59,0,59,429,858.0000000000001,0,1180,0
2024-01-09,Product C,255,41,0,41,214,321.00000000000006,0,615,0
2024-01-09,Product D,460,63,0,63,397,1191.0,0,1890,0
2024-01-09,Product E,524,51,0,51,473,1182.5,0,1275,0
2024-01-10,Product A,520,59,0,59,461,461.0,0,590,0
2024-01-10,Product B,429,45,0,45,384,768.0000000000001,0,900,0
2024-01-10,Product C,214,41,0,41,173,259.5,0,615,0
2024-01-10,Product D,397,61,0,61,336,1008.0,0,1830,0
2024-01-10,Product E,473,46,0,46,427,1067.5,0,1150,0
2024-01-11,Product A,461,46,0,46,415,415.0,0,460,0
2024-01-11,Product B,384,48,0,48,336,672.0,0,960,0
2024-01-11,Product C,173,71,365,71,467,700.5,50,1065,0
2024-01-11,Product D,336,64,0,64,272,816.0000000000001,0,1920,0
2024-01-11,Product E,427,72,0,72,355,887.5,0,1800,0
