Date,Product,Starting Inventory,Demand,Order Quantity,Sold Quantity,Ending Inventory,Holding Cost,Ordering Cost,Sales,Stock Out
2024-01-01,Product A,565,2500,365,565,365,365.0,50,5650,1
2024-01-01,Product B,611,2500,365,611,365,730.0,50,12220,1
2024-01-01,Product C,604,2500,365,604,365,547.5,50,9060,1
2024-01-01,Product D,562,2500,365,562,365,1095.0,50,16860,1
2024-01-01,Product E,544,2500,365,544,365,912.5,50,13600,1
2024-01-02,Product A,365,1935,365,365,365,365.0,50,3650,1
2024-01-02,Product B,365,1889,365,365,365,730.0,50,7300,1
2024-01-02,Product C,365,1896,365,365,365,547.5,50,5475,1
2024-01-02,Product D,365,1938,365,365,365,1095.0,50,10950,1
2024-01-02,Product E,365,1956,365,365,365,912.5,50,9125,1
2024-01-03,Product A,365,1570,365,365,365,365.0,50,3650,1
2024-01-03,Product B,365,1524,365,365,365,730.0,50,7300,1
2024-01-03,Product C,365,1531,365,365,365,547.5,50,5475,1
2024-01-03,Product D,365,1573,365,365,365,1095.0,50,10950,1
2024-01-03,Product E,365,1591,365,365,365,912.5,50,9125,1
2024-01-04,Product A,365,1205,365,365,365,365.0,50,3650,1
2024-01-04,Product B,365,1159,365,365,365,730.0,50,7300,1
2024-01-04,Product C,365,1166,365,365,365,547.5,50,5475,1
2024-01-04,Product D,365,1208,365,365,365,1095.0,50,10950,1
2024-01-04,Product E,365,1226,365,365,365,912.5,50,9125,1
2024-01-05,Product A,365,840,365,365,365,365.0,50,3650,1
2024-01-05,Product B,365,794,365,365,365,730.0,50,7300,1
2024-01-05,Product C,365,801,365,365,365,547.5,50,5475,1
2024-01-05,Product D,365,843,365,365,365,1095.0,50,10950,1
2024-01-05,Product E,365,861,365,365,365,912.5,50,9125,1
2024-01-06,Product A,365,475,365,365,365,365.0,50,3650,1
2024-01-06,Product B,365,429,365,365,365,730.0,50,7300,1
2024-01-06,Product C,365,436,365,365,365,547.5,50,5475,1
2024-01-06,Product D,365,478,365,365,365,1095.0,50,10950,1
2024-01-06,Product E,365,496,365,365,365,912.5,50,9125,1
2024-01-07,Product A,365,110,0,110,255,255.0,0,1100,0
2024-01-07,Product B,365,64,0,64,301,602.0,0,1280,0
2024-01-07,Product C,365,71,0,71,294,441.00000000000006,0,1065,0
2024-01-07,Product D,365,113,0,113,252,756.0000000000001,0,3390,0
2024-01-07,Product E,365,131,0,131,234,585.0,0,3275,0
2024-01-08,Product A,255,59,0,59,196,196.0,0,590,0
2024-01-08,Product B,301,44,0,44,257,514.0,0,880,0
2024-01-08,Product C,294,65,0,65,229,343.50000000000006,0,975,0
2024-01-08,Product D,252,49,0,49,203,609.0,0,1470,0
2024-01-08,Product E,234,66,365,66,533,1332.5,50,1650,0
2024-01-09,Product A,196,53,365,53,508,508.00000000000006,50,530,0
2024-01-09,Product B,257,69,0,69,188,376.0,0,1380,0
2024-01-09,Product C,229,51,0,51,178,267.0,0,765,0
2024-01-09,Product D,203,42,365,42,526,1578.0,50,1260,0
2024-01-09,Product E,533,54,0,54,479,1197.5000000000002,0,1350,0
2024-01-10,Product A,508,63,0,63,445,445.0,0,630,0
2024-01-10,Product B,188,47,365,47,506,1012.0,50,940,0
2024-01-10,Product C,178,57,365,57,486,729.0,50,855,0
2024-01-10,Product D,526,42,0,42,484,1452.0000000000002,0,1260,0
2024-01-10,Product E,479,49,0,49,430,1075.0,0,1225,0
2024-01-11,Product A,445,59,0,59,386,386.0,0,590,0
2024-01-11,Product B,506,52,0,52,454,908.0000000000001,0,1040,0
2024-01-11,Product C,486,52,0,52,434,651.0000000000001,0,780,0
2024-01-11,Product D,484,54,0,54,430,1290.0,0,1620,0
2024-01-11,Product E,430,63,0,63,367,917.5000000000001,0,1575,0
2024-01-12,Product A,386,54,0,54,332,332.0,0,540,0
2024-01-12,Product B,454,48,0,48,406,812.0,0,960,0
2024-01-12,Product C,434,51,0,51,383,574.5000000000001,0,765,0
2024-01-12,Product D,430,56,0,56,374,1122.0,0,1680,0
2024-01-12,Product E,367,71,0,71,296,740.0,0,1775,0
2024-01-13,Product A,332,71,0,71,261,261.0,0,710,0
2024-01-13,Product B,406,53,0,53,353,706.0000000000001,0,1060,0
2024-01-13,Product C,383,43,0,43,340,510.0,0,645,0
2024-01-13,Product D,374,69,0,69,305,915.0,0,2070,0
2024-01-13,Product E,296,68,0,68,228,570.0,0,1700,0
2024-01-14,Product A,261,65,0,65,196,196.0,0,650,0
2024-01-14,Product B,353,55,0,55,298,596.0,0,1100,0
2024-01-14,Product C,340,57,0,57,283,424.5,0,855,0
2024-01-14,Product D,305,62,0,62,243,729.0,0,1860,0
2024-01-14,Product E,228,66,365,66,527,1317.5,50,1650,0
2024-01-15,Product A,196,59,365,59,502,502.0,50,590,0
2024-01-15,Product B,298,56,0,56,242,484.00000000000006,0,1120,0
2024-01-15,Product C,283,68,0,68,215,322.5,0,1020,0
2024-01-15,Product D,243,32,0,32,211,633.0,0,960,0
2024-01-15,Product E,527,53,0,53,474,1185.0000000000002,0,1325,0
2024-01-16,Product A,502,70,0,70,432,432.0,0,700,0
2024-01-16,Product B,242,39,0,39,203,406.0,0,780,0
2024-01-16,Product C,215,68,365,68,512,768.0,50,1020,0
2024-01-16,Product D,211,50,365,50,526,1578.0,50,1500,0
2024-01-16,Product E,474,58,0,58,416,1040.0,0,1450,0
2024-01-17,Product A,432,49,0,49,383,383.00000000000006,0,490,0
2024-01-17,Product B,203,69,365,69,499,998.0000000000001,50,1380,0
2024-01-17,Product C,512,52,0,52,460,690.0,0,780,0
2024-01-17,Product D,526,59,0,59,467,1401.0,0,1770,0
2024-01-17,Product E,416,46,0,46,370,925.0,0,1150,0
2024-01-18,Product A,383,59,0,59,324,324.0,0,590,0
2024-01-18,Product B,499,60,0,60,439,878.0000000000001,0,1200,0
2024-01-18,Product C,460,61,0,61,399,598.5000000000001,0,915,0
2024-01-18,Product D,467,68,0,68,399,1197.0000000000002,0,2040,0
2024-01-18,Product E,370,66,0,66,304,760.0,0,1650,0
2024-01-19,Product A,324,59,0,59,265,265.0,0,590,0
2024-01-19,Product B,439,59,0,59,380,760.0,0,1180,0
2024-01-19,Product C,399,63,0,63,336,504.0,0,945,0
2024-01-19,Product D,399,63,0,63,336,1008.0,0,1890,0
2024-01-19,Product E,304,57,0,57,247,617.5000000000001,0,1425,0
2024-01-20,Product A,265,68,0,68,197,197.00000000000003,0,680,0
2024-01-20,Product B,380,57,0,57,323,646.0000000000001,0,1140,0
2024-01-20,Product C,336,62,0,62,274,411.00000000000006,0,930,0
2024-01-20,Product D,336,49,0,49,287,861.0000000000001,0,1470,0
2024-01-20,Product E,247,60,0,60,187,467.5,0,1500,0
2024-01-21,Product A,197,67,365,67,495,495.0,50,670,0
2024-01-21,Product B,323,62,0,62,261,522.0,0,1240,0
2024-01-21,Product C,274,63,0,63,211,316.5,0,945,0
2024-01-21,Product D,287,69,0,69,218,654.0,0,2070,0
2024-01-21,Product E,187,67,365,67,485,1212.5,50,1675,0
2024-01-22,Product A,495,81,0,81,414,414.00000000000006,0,810,0
2024-01-22,Product B,261,70,0,70,191,382.0,0,1400,0
2024-01-22,Product C,211,67,365,67,509,763.5000000000001,50,1005,0
2024-01-22,Product D,218,63,365,63,520,1560.0,50,1890,0
2024-01-22,Product E,485,75,0,75,410,1025.0,0,1875,0
2024-01-23,Product A,414,68,0,68,346,346.0,0,680,0
2024-01-23,Product B,191,62,365,62,494,988.0000000000001,50,1240,0
2024-01-23,Product C,509,57,0,57,452,678.0,0,855,0
2024-01-23,Product D,520,39,0,39,481,1443.0,0,1170,0
2024-01-23,Product E,410,50,0,50,360,900.0,0,1250,0
2024-01-24,Product A,346,66,0,66,280,280.0,0,660,0
2024-01-24,Product B,494,68,0,68,426,852.0,0,1360,0
2024-01-24,Product C,452,60,0,60,392,588.0,0,900,0
2024-01-24,Product D,481,50,0,50,431,1293.0,0,1500,0
2024-01-24,Product E,360,49,0,49,311,777.5,0,1225,0
2024-01-25,Product A,280,63,0,63,217,217.00000000000003,0,630,0
2024-01-25,Product B,426,74,0,74,352,704.0,0,1480,0
2024-01-25,Product C,392,80,0,80,312,468.00000000000006,0,1200,0
2024-01-25,Product D,431,80,0,80,351,1053.0,0,2400,0
2024-01-25,Product E,311,63,0,63,248,620.0,0,1575,0
2024-01-26,Product A,217,72,365,72,510,510.0,50,720,0
2024-01-26,Product B,352,61,0,61,291,582.0,0,1220,0
2024-01-26,Product C,312,64,0,64,248,372.0,0,960,0
2024-01-26,Product D,351,59,0,59,292,876.0000000000001,0,1770,0
2024-01-26,Product E,248,77,0,77,171,427.50000000000006,0,1925,0
2024-01-27,Product A,510,64,0,64,446,446.0,0,640,0
2024-01-27,Product B,291,42,0,42,249,498.00000000000006,0,840,0
2024-01-27,Product C,248,59,0,59,189,283.50000000000006,0,885,0
2024-01-27,Product D,292,51,0,51,241,723.0,0,1530,0
2024-01-27,Product E,171,59,365,59,477,1192.5,50,1475,0
2024-01-28,Product A,446,56,0,56,390,390.0,0,560,0
2024-01-28,Product B,249,50,0,50,199,398.00000000000006,0,1000,0
2024-01-28,Product C,189,53,365,53,501,751.5,50,795,0
2024-01-28,Product D,241,60,0,60,181,543.0,0,1800,0
2024-01-28,Product E,477,49,0,49,428,1070.0,0,1225,0
2024-01-29,Product A,390,64,0,64,326,326.0,0,640,0
2024-01-29,Product B,199,69,365,69,495,990.0,50,1380,0
2024-01-29,Product C,501,64,0,64,437,655.5,0,960,0
2024-01-29,Product D,181,61,365,61,485,1455.0,50,1830,0
2024-01-29,Product E,428,53,0,53,375,937.5,0,1325,0
2024-01-30,Product A,326,70,0,70,256,256.0,0,700,0
2024-01-30,Product B,495,65,0,65,430,860.0,0,1300,0
2024-01-30,Product C,437,48,0,48,389,583.5000000000001,0,720,0
2024-01-30,Product D,485,57,0,57,428,1284.0000000000002,0,1710,0
2024-01-30,Product E,375,68,0,68,307,767.5000000000001,0,1700,0
2024-01-31,Product A,256,57,0,57,199,199.00000000000003,0,570,0
2024-01-31,Product B,430,43,0,43,387,774.0,0,860,0
2024-01-31,Product C,389,53,0,53,336,504.0,0,795,0
2024-01-31,Product D,428,61,0,61,367,1101.0,0,1830,0
2024-01-31,Product E,307,47,0,47,260,650.0,0,1175,0
2024-02-01,Product A,199,86,365,86,478,478.00000000000006,50,860,0
2024-02-01,Product B,387,75,0,75,312,624.0,0,1500,0
2024-02-01,Product C,336,98,0,98,238,357.0,0,1470,0
2024-02-01,Product D,367,115,0,115,252,756.0000000000001,0,3450,0
2024-02-01,Product E,260,78,0,78,182,455.0,0,1950,0
2024-02-02,Product A,478,2500,365,478,365,365.0,50,4780,1
2024-02-02,Product B,312,2500,365,312,365,730.0,50,6240,1
2024-02-02,Product C,238,2500,365,238,365,547.5,50,3570,1
2024-02-02,Product D,252,2500,365,252,365,1095.0,50,7560,1
2024-02-02,Product E,182,2500,365,182,365,912.5,50,4550,1
2024-02-03,Product A,365,2022,365,365,365,365.0,50,3650,1
2024-02-03,Product B,365,2188,365,365,365,730.0,50,7300,1
2024-02-03,Product C,365,2262,365,365,365,547.5,50,5475,1
2024-02-03,Product D,365,2248,365,365,365,1095.0,50,10950,1
2024-02-03,Product E,365,2318,365,365,365,912.5,50,9125,1
2024-02-04,Product A,365,1657,365,365,365,365.0,50,3650,1
2024-02-04,Product B,365,1823,365,365,365,730.0,50,7300,1
2024-02-04,Product C,365,1897,365,365,365,547.5,50,5475,1
2024-02-04,Product D,365,1883,365,365,365,1095.0,50,10950,1
2024-02-04,Product E,365,1953,365,365,365,912.5,50,9125,1
2024-02-05,Product A,365,1292,365,365,365,365.0,50,3650,1
2024-02-05,Product B,365,1458,365,365,365,730.0,50,7300,1
2024-02-05,Product C,365,1532,365,365,365,547.5,50,5475,1
2024-02-05,Product D,365,1518,365,365,365,1095.0,50,10950,1
2024-02-05,Product E,365,1588,365,365,365,912.5,50,9125,1
2024-02-06,Product A,365,927,365,365,365,365.0,50,3650,1
2024-02-06,Product B,365,1093,365,365,365,730.0,50,7300,1
2024-02-06,Product C,365,1167,365,365,365,547.5,50,5475,1
2024-02-06,Product D,365,1153,365,365,365,1095.0,50,10950,1
2024-02-06,Product E,365,1223,365,365,365,912.5,50,9125,1
2024-02-07,Product A,365,562,365,365,365,365.0,50,3650,1
2024-02-07,Product B,365,728,365,365,365,730.0,50,7300,1
2024-02-07,Product C,365,802,365,365,365,547.5,50,5475,1
2024-02-07,Product D,365,788,365,365,365,1095.0,50,10950,1
2024-02-07,Product E,365,858,365,365,365,912.5,50,9125,1
2024-02-08,Product A,365,197,365,197,533,533.0,50,1970,0
2024-02-08,Product B,365,363,365,363,367,734.0,50,7260,0
2024-02-08,Product C,365,437,365,365,365,547.5,50,5475,1
2024-02-08,Product D,365,423,365,365,365,1095.0,50,10950,1
2024-02-08,Product E,365,493,365,365,365,912.5,50,9125,1
2024-02-09,Product A,533,124,0,124,409,409.00000000000006,0,1240,0
2024-02-09,Product B,367,109,0,109,258,516.0,0,2180,0
2024-02-09,Product C,365,119,0,119,246,369.0,0,1785,0
2024-02-09,Product D,365,78,0,78,287,861.0000000000001,0,2340,0
2024-02-09,Product E,365,128,0,128,237,592.5000000000001,0,3200,0
2024-02-10,Product A,409,106,0,106,303,303.0,0,1060,0
2024-02-10,Product B,258,96,365,96,527,1054.0,50,1920,0
2024-02-10,Product C,246,116,365,116,495,742.5,50,1740,0
2024-02-10,Product D,287,111,0,111,176,528.0,0,3330,0
2024-02-10,Product E,237,113,365,113,489,1222.5000000000002,50,2825,0
2024-02-11,Product A,303,124,0,124,179,179.00000000000003,0,1240,0
2024-02-11,Product B,527,92,0,92,435,870.0,0,1840,0
2024-02-11,Product C,495,121,0,121,374,561.0,0,1815,0
2024-02-11,Product D,176,92,365,92,449,1347.0000000000002,50,2760,0
